timestamp,label,accelX,accelY,accelZ,gyroX,gyroY
242263.0,FWD,-3.5913,3.0981,16.0699,-0.012429,0.013816
242273.0,FWD,-4.1539,5.1116,19.0914,-0.01255,-0.068941
242283.0,FWD,-4.5705,4.7453,12.4163,-0.010835,-0.151293
242293.0,FWD,-3.371,4.1707,13.6996,-0.006959,-0.227994
242304.0,FWD,-2.5307,4.2162,12.7874,-0.002419,-0.312003
242313.0,FWD,-2.9042,0.2873,11.9279,-0.009339,-0.390775
242323.0,FWD,-2.8395,-1.2929,12.6629,-0.010771,-0.456884
242333.0,FWD,-3.2178,-3.3734,12.1218,-0.008613,-0.505081
242343.0,FWD,-3.5889,-1.2617,15.5863,-0.004754,-0.527758
242353.0,FWD,-3.1627,0.7111,13.726,-0.000762,-0.521704
242363.0,FWD,-1.2019,4.5945,13.307,0.001686,-0.498742
242373.0,FWD,1.9609,0.2849,9.335,0.009081,-0.473391
242383.0,FWD,-2.478,-1.1229,12.6366,0.011639,-0.476932
242393.0,FWD,-2.32,-1.3599,15.8664,0.004359,-0.483868
242403.0,FWD,-2.0016,0.4166,15.2008,-0.000239,-0.46794
242413.0,FWD,-1.403,1.889,14.9542,-0.003278,-0.375206
242423.0,FWD,-2.4301,5.4013,13.9199,-0.000753,-0.144605
242433.0,FWD,-3.7206,1.2809,14.8871,-0.00257,0.164847
242443.0,FWD,-2.5786,4.0007,14.7076,0.002105,0.410436
242453.0,FWD,-2.2338,2.2242,12.2846,0.001102,0.515618
242463.0,FWD,-3.0095,2.4397,12.4115,0.001631,0.553718
242473.0,FWD,-6.9647,-0.7997,12.2751,0.002535,0.636798
242483.0,FWD,-10.568,0.9744,10.0485,0.002352,0.897993
242493.0,FWD,-10.9798,0.8068,6.9791,0.003538,1.324169
242503.0,FWD,-10.386,3.4069,9.6798,0.005872,1.717444
242513.0,FWD,-10.2807,2.9736,11.8776,0.007899,1.948287
242523.0,FWD,-11.8752,2.9401,11.0349,0.003819,1.9531
242533.0,FWD,-11.7675,-1.2857,13.0005,0.002313,1.777514
242543.0,FWD,-14.2551,-3.7182,14.5807,0.003293,1.495661
242553.0,FWD,-13.465,-1.4078,11.7412,0.009087,1.155545
242563.0,FWD,-10.7619,0.4669,8.7795,0.009352,0.771486
242573.0,FWD,-6.7109,2.6959,11.3844,0.013135,0.420805
242583.0,FWD,-7.8673,3.6655,8.0685,0.005076,0.106739
242593.0,FWD,-5.964,0.4669,8.691,0.001614,-0.179207
242603.0,FWD,-6.9935,3.4907,8.1954,0.002787,-0.431359
242613.0,FWD,-5.7245,2.8228,10.0413,0.00719,-0.628924
242623.0,FWD,-4.3287,5.5569,10.8098,0.006502,-0.767525
242633.0,FWD,-6.031,1.731,14.2647,0.006805,-0.855169
242643.0,FWD,-4.7621,4.5035,12.4977,-0.003878,-0.920595
242653.0,FWD,-5.0494,3.4046,12.3756,-0.007682,-0.977199
242663.0,FWD,-4.798,1.008,14.5017,-0.014775,-1.012997
242673.0,FWD,-5.3463,2.6959,10.4651,-0.013521,-1.019678
242683.0,FWD,-3.565,3.1316,6.9073,-0.016835,-0.983135
242693.0,FWD,-6.2249,4.051,9.0333,-0.015862,-0.896878
242703.0,FWD,-6.3327,1.5251,10.0892,-0.014444,-0.780388
242713.0,FWD,-5.9879,0.4238,11.6071,-0.010379,-0.650212
242723.0,FWD,-4.063,-0.5578,10.0868,-0.005208,-0.508766
242733.0,FWD,-2.9161,-0.8404,15.4929,-0.004855,-0.359584
242743.0,FWD,-2.8204,0.929,10.7571,-0.0034,-0.202027
242753.0,FWD,-5.0661,2.2386,12.2799,-0.010071,-0.058395
242763.0,FWD,-5.0925,-0.4645,16.3811,-0.012422,0.064505
242772.0,FWD,-7.288,-2.5666,15.2894,-0.009188,0.174069
242783.0,FWD,-5.1787,-6.3805,9.8904,-0.005641,0.265291
242793.0,FWD,-8.26,-0.9505,12.7348,-0.010157,0.343864
242803.0,FWD,-6.5314,-0.5938,13.1513,-0.014624,0.394998
242813.0,FWD,-3.5362,1.8986,15.378,-0.012441,0.410752
242823.0,FWD,-4.1922,-1.1444,13.9366,-0.011867,0.406674
242833.0,FWD,-3.4764,1.6592,10.0102,-0.006612,0.377618
242843.0,FWD,-4.4436,2.4588,13.1154,-0.008057,0.331458
242853.0,FWD,-6.4189,-0.6105,12.4977,-0.006974,0.266764
242863.0,FWD,-5.296,1.0271,11.4132,-0.008879,0.185325
242873.0,FWD,-4.9033,2.059,13.5129,-0.004648,0.104559
242883.0,FWD,-5.1236,3.6152,13.0939,-0.000463,0.026463
242893.0,FWD,-4.7645,1.0104,13.9941,-0.0009,-0.052321
242903.0,FWD,-3.893,2.2577,15.0045,-0.00386,-0.13011
242913.0,FWD,-3.1963,0.1221,17.516,-0.002124,-0.196338
242923.0,FWD,-3.4165,0.9409,13.2543,-0.005,-0.241434
242933.0,FWD,-4.5274,0.6009,13.9654,-0.001651,-0.278789
242942.0,FWD,-3.9624,1.5323,11.6406,-0.007019,-0.293751
242953.0,FWD,-1.6137,4.4963,17.6046,-0.006623,-0.264153
242963.0,FWD,-1.063,0.5818,12.7587,-0.000818,-0.152702
242973.0,FWD,-1.5658,4.4843,9.9,0.001641,0.012614
242983.0,FWD,-3.7565,1.166,9.6798,0.001637,0.195548
242993.0,FWD,-2.9592,5.035,16.836,-0.003056,0.376429
243003.0,FWD,-1.2953,-1.1827,10.8218,-0.004786,0.516657
243013.0,FWD,-5.8514,0.328,17.3029,-0.012884,0.681333
243023.0,FWD,-9.402,0.7781,14.8321,-0.018457,0.975935
243033.0,FWD,-12.4451,-0.917,14.1737,-0.020464,1.286972
243043.0,FWD,-13.6493,-0.2179,9.7013,-0.026972,1.56005
243053.0,FWD,-13.5655,-0.8739,11.4754,-0.021041,1.618422
243063.0,FWD,-13.0292,-0.6009,10.829,-0.015603,1.42946
243073.0,FWD,-11.473,-1.7765,16.2423,-0.007575,1.073168
243083.0,FWD,-12.1218,0.6345,19.3619,-0.004138,0.679364
243093.0,FWD,-7.2736,-1.4892,8.7101,-0.002666,0.352277
243103.0,FWD,-7.9104,-1.8411,9.086,-0.001223,0.131162
243112.0,FWD,-8.0589,1.4916,12.0093,-0.001454,0.002927
243123.0,FWD,-9.6965,0.5171,9.6654,0.001506,-0.096517
243133.0,FWD,-8.6024,2.4038,7.5298,0.001315,-0.171009
243143.0,FWD,-10.58,0.9912,12.7491,0.004467,-0.231083
243153.0,FWD,-7.5585,3.0406,15.0332,-0.000206,-0.284151
243163.0,FWD,-9.2416,0.7159,13.5847,0.006074,-0.345738
243173.0,FWD,-8.1762,0.759,9.0932,0.006995,-0.430553
243183.0,FWD,-6.8546,-0.4429,11.3413,0.005707,-0.490625
243193.0,FWD,-5.8778,2.2218,8.5904,0.003824,-0.513155
243203.0,FWD,-6.3207,3.9552,7.3574,0.005035,-0.520947
243213.0,FWD,-5.7916,2.4421,10.7691,-0.003962,-0.522385
243223.0,FWD,-6.9528,1.1181,13.7954,-0.009347,-0.539948
243233.0,FWD,-8.7771,0.7159,16.7187,-0.01632,-0.549896
243243.0,FWD,-6.9552,0.4549,12.0907,-0.019874,-0.548688
243253.0,FWD,-7.3095,0.6608,10.4962,-0.016801,-0.543191
243263.0,FWD,-6.8187,2.5498,8.9112,-0.01301,-0.543377
243273.0,FWD,-6.7325,3.3495,5.0589,-0.006407,-0.544858
243282.0,FWD,-4.9153,2.4924,13.8409,-0.00315,-0.555689
243293.0,FWD,-6.7086,2.5857,13.2758,0.004306,-0.565367
243303.0,FWD,-5.1332,3.4022,14.9446,-0.000655,-0.558933
243313.0,FWD,-5.0446,0.4477,8.8945,-0.00409,-0.546697
243323.0,FWD,-3.7661,-4.9704,9.4355,-0.008331,-0.521987
243333.0,FWD,-5.0159,-1.7933,9.7013,-0.004476,-0.470617
243343.0,FWD,-6.7062,0.8499,14.2766,-0.007946,-0.41737
243353.0,FWD,-3.7996,-2.3727,11.5401,-0.006779,-0.36534
243363.0,FWD,-2.4876,-2.4086,12.5456,-0.010962,-0.323715
243373.0,FWD,-3.6081,-0.1269,14.6118,-0.00754,-0.287698
243383.0,FWD,-3.4453,0.0383,15.536,-0.005974,-0.267837
243393.0,FWD,-3.9792,0.8978,12.967,-0.004989,-0.240757
243403.0,FWD,-2.7102,2.8563,13.8768,-0.006065,-0.20561
243412.0,FWD,-3.213,2.3439,11.8202,-0.005647,-0.160386
243423.0,FWD,-1.4676,1.4557,13.228,-0.00899,-0.121328
243433.0,FWD,-4.6256,3.0406,16.8025,-0.013956,-0.099835
243443.0,FWD,-0.2705,2.3343,11.0253,-0.009456,-0.111898
243453.0,FWD,-1.9369,-1.6185,13.1035,-0.004896,-0.148247
243463.0,FWD,-2.3391,-3.1603,8.4898,-0.012493,-0.205093
243473.0,FWD,0.4477,-0.4286,12.4522,-0.015905,-0.2624
243483.0,FWD,4.7525,-0.6177,12.4211,-0.011495,-0.279947
243493.0,FWD,4.6088,-2.8108,9.6558,-0.013455,-0.246608
243503.0,FWD,1.6376,-1.0367,7.4124,-0.015609,-0.183218
243513.0,FWD,-0.1413,-0.3328,6.2944,-0.014189,-0.098026
243523.0,FWD,-1.2977,0.7614,8.4779,-0.014225,-0.021186
243533.0,FWD,1.4293,-1.0295,12.3469,-0.010896,0.051798
243543.0,FWD,-1.3815,2.2601,11.3389,-0.014255,0.13342
243553.0,FWD,-2.5283,-1.8387,11.6669,-0.015077,0.262882
243563.0,FWD,-6.8235,1.9106,11.801,-0.023622,0.463924
243573.0,FWD,-5.3079,0.2562,13.8193,-0.022304,0.663394
243582.0,FWD,-7.288,5.102,13.1729,-0.021144,0.771596
243593.0,FWD,-5.2433,6.687,14.5927,-0.019415,0.758821
243603.0,FWD,-4.1013,6.6918,7.3957,-0.020591,0.709271
243613.0,FWD,-6.1675,7.4915,8.9998,-0.020626,0.794228
243623.0,FWD,-12.9742,3.9169,8.272,-0.017189,0.995586
243633.0,FWD,-16.5631,-1.9465,10.058,-0.014493,1.207139
243643.0,FWD,-18.0164,-4.6328,14.0707,-0.007114,1.291168
243653.0,FWD,-15.8376,-3.2322,14.6477,-0.001264,1.201977
243663.0,FWD,-12.4953,0.9505,16.1465,-0.000847,0.968029
243673.0,FWD,-9.5026,0.3376,11.4802,-0.007015,0.65947
243683.0,FWD,-8.1116,-0.1484,10.8146,-0.004649,0.363434
243693.0,FWD,-5.7006,1.5969,10.1011,-0.009897,0.13348
243703.0,FWD,-2.2482,2.9257,12.4187,-0.013989,-0.0192
243713.0,FWD,-3.3806,2.2194,13.4219,-0.011986,-0.130633
243723.0,FWD,-2.2122,4.2593,11.3653,-0.011823,-0.227346
243733.0,FWD,-5.3941,3.553,9.8162,-0.017022,-0.294645
243743.0,FWD,-6.754,4.3981,13.3549,-0.017717,-0.355412
243752.0,FWD,-7.1898,3.8355,17.0563,-0.02227,-0.423158
243763.0,FWD,-8.1451,4.5179,19.8216,-0.021862,-0.506239
243773.0,FWD,-8.1954,2.2386,12.8353,-0.026119,-0.584215
243783.0,FWD,-6.0645,0.4022,17.1281,-0.017694,-0.624745
243793.0,FWD,-7.1419,0.7087,12.6294,-0.022837,-0.660528
243803.0,FWD,-6.2465,1.7454,10.6614,-0.025087,-0.710364
243813.0,FWD,-7.8745,0.4453,11.4443,-0.019053,-0.759132
243823.0,FWD,-3.6272,1.7765,10.2927,-0.018596,-0.810511
243833.0,FWD,-3.3567,-3.3136,7.3167,-0.012315,-0.843087
243843.0,FWD,-1.324,-3.4357,9.9144,-0.007556,-0.851136
243853.0,FWD,-3.9241,-0.4357,9.8282,-0.004229,-0.825545
243863.0,FWD,-5.3295,-0.0814,14.4418,-0.00583,-0.781465
243873.0,FWD,-5.1811,0.5602,10.8769,-0.0053,-0.711933
243883.0,FWD,-3.6248,1.7454,10.7069,-0.003223,-0.625398
243893.0,FWD,-5.2409,1.2402,11.1546,-0.004226,-0.501971
243903.0,FWD,-4.9416,1.3791,18.9453,-0.003164,-0.361289
243913.0,FWD,-3.0718,1.3096,13.8313,0.001203,-0.225721
243922.0,FWD,-3.0694,2.2625,12.5696,-0.000365,-0.093285
243933.0,FWD,-3.2178,1.063,8.825,-0.008868,0.015542
243943.0,FWD,-5.7437,4.8339,10.4938,-0.013006,0.086349
243953.0,FWD,-3.4668,3.553,13.1513,-0.006457,0.138039
243963.0,FWD,-0.6273,4.6783,7.7069,-0.001804,0.160419
243973.0,FWD,-4.1204,3.0358,8.0732,-0.003784,0.15061
243983.0,FWD,-4.6519,2.9473,13.362,-0.001265,0.106631
243993.0,FWD,-1.8052,-0.2849,17.8991,0.002403,0.032438
244003.0,FWD,-1.245,1.075,20.5087,0.000594,-0.075573
244013.0,FWD,-3.6847,0.9529,16.0579,-0.002185,-0.184791
244023.0,FWD,-4.1037,-0.0263,18.7801,0.000388,-0.299184
244033.0,FWD,-3.0861,-0.0096,14.0109,0.003618,-0.383292
244043.0,FWD,-0.6321,2.3008,12.9,0.000714,-0.451963
244052.0,FWD,-1.2498,2.8587,11.7436,-0.004488,-0.496508
244063.0,FWD,-1.1229,1.9178,10.6422,-0.009288,-0.516156
244073.0,FWD,-3.3495,-1.0582,15.1936,-0.010464,-0.506561
244083.0,FWD,-3.9385,-0.012,16.4099,-0.010392,-0.46547
244093.0,FWD,-1.324,2.1213,16.7307,-0.008576,-0.389484
244103.0,FWD,0.5483,3.1484,16.848,-0.006964,-0.271139
244113.0,FWD,0.3352,3.0957,9.9623,-0.007965,-0.147739
244123.0,FWD,-1.3001,9.2105,10.1706,-0.007647,-0.011767
244133.0,FWD,-1.0008,6.8139,7.8745,-0.012349,0.248574
